scenario_name,band,scene,visibility_km,raw_row_count,evaluated_raw_count,envelope_point_count,r2,nrmse,highangle_nrmse,tail150_nrmse,raw_point_coverage,raw_ratio_p95,raw_ratio_p99
maritime_vis_12km,vis,maritime,12.0,17161,16253,33,0.9949958201286971,0.013756488430955173,0.015050195468584375,0.022218870204368985,0.9980926598166492,0.9391455387280511,0.982218804375567
maritime_vis_15km,vis,maritime,15.0,17161,16253,33,0.9960037494443241,0.012443866708126408,0.01508211359389644,0.022082493229027587,0.9985233495354704,0.9328522304611341,0.9788145844890873
maritime_vis_18km,vis,maritime,18.0,17161,16253,33,0.9969399625439224,0.011034814025463647,0.016095857027285044,0.022825426006807762,0.9988309850489141,0.9272947219487598,0.9738351768982261
maritime_vis_20km,vis,maritime,20.0,17161,16253,33,0.9971230504377199,0.010765600226804003,0.01668071549301246,0.02353364736483277,0.9984618224327816,0.9239805130986702,0.9726321245595922
maritime_vis_22km,vis,maritime,22.0,17161,16253,33,0.9974202769704578,0.010261416270101704,0.01751602371167154,0.024243247442108953,0.9982157140220267,0.9186466303061209,0.9713874426872531
maritime_vis_25km,vis,maritime,25.0,17161,16253,33,0.9970811400325261,0.010989098763760278,0.016844828139599775,0.022765568306500627,0.9979696056112718,0.9121787516529921,0.9671602800042709
maritime_vis_28km,vis,maritime,28.0,17161,16253,33,0.996945306737079,0.011298112730497611,0.016114291047299282,0.021445230025394692,0.9977234972005168,0.9077818741375221,0.9624596145379274
maritime_vis_30km,vis,maritime,30.0,17161,16253,33,0.9968288636288286,0.011567317221895738,0.01593244002590035,0.021074298232493675,0.9976619700978281,0.9059919406954902,0.9600476020966247
rural_vis_2km,vis,rural,2.0,17161,16253,33,0.9974536801147262,0.011729025435406838,0.03461581138496408,0.036188347986445664,0.9996923644865563,0.9441629094033128,0.9800984567023611
rural_vis_4km,vis,rural,4.0,17161,16253,33,0.9855308396989678,0.025923704333826476,0.02614272221278628,0.04927290280942375,0.9724973850981358,0.983500775787075,1.0243840626849448
rural_vis_5km,vis,rural,5.0,17161,16253,33,0.9885153399425731,0.022628387035285802,0.023971307258832775,0.04448701571750198,0.9838183719928628,0.9737630181555881,1.0085387816645752
